id,brand_name,generic_name,species,dose_mg_per_kg_min,dose_mg_per_kg_max,concentration_value,concentration_unit,concentration_ml,dosage_form,route,frequency,unit_description,notes
"1","Augmentin / Curam","Amoxicillin + Clavulanic acid","dogs and cats","12.5","25","156","mg/5ml","5","suspension/tablet","PO","q8-12h","Susp 156, 312, 457, 600; Tab 625, 1000 mg","Category: Antibiotic (Potentiated Penicillin). Beta-lactam antibiotic with clavulanate beta-lactamase inhibitor. Broad-spectrum bactericidal activity against Gram-positive and Gram-negative aerobes/anaerobes. Indications: Skin, soft tissue, urinary, respiratory, and periodontal infections. Warnings: Contraindicated in penicillin hypersensitivity; avoid oral use in small herbivores. Ref: Plumb's 9th Ed. p. 62."
"2","Xorin / Cefotax","Cefotaxime","dogs and cats","40","50","500","mg/vial","2","injectable","IV/IM","q8h","Vials 250, 500, 1000 mg","Category: Antibiotic (3rd Gen Cephalosporin). Broad-spectrum bactericidal cephalosporin with excellent Gram-negative activity and CNS penetration. Indications: Severe sepsis, meningitis, respiratory infections, and perioperative surgical prophylaxis. Dosage: Dogs/Cats 20-50 mg/kg IV/IM q8h. Ref: Plumb's 9th Ed. p. 200."
"3","Ceftriaxone (dog)","Ceftriaxone","dog","15","50","500","mg/vial","2","injectable","IV/IM/SC","q12-24h","Vials 250, 500, 1000 mg (Wintriaxone, Xoraxon)","Category: Antibiotic (3rd Gen Cephalosporin). Extended-spectrum bactericidal cephalosporin with long half-life. Indications: Severe Gram-negative infections, osteomyelitis, sepsis, and CNS infections. Dosage: Dogs 15-50 mg/kg IV/IM/SC q12-24h; Cats 25-50 mg/kg IV/IM/SC q12-24h. Ref: Plumb's 9th Ed. p. 205."
"4","Ceftriaxone (cat)","Ceftriaxone","cat","25","50","500","mg/vial","2","injectable","IV/IM/SC","q12-24h","Vials 250, 500, 1000 mg (Wintriaxone, Xoraxon)","Category: Antibiotic (3rd Gen Cephalosporin). Extended-spectrum bactericidal cephalosporin with long half-life. Indications: Severe Gram-negative infections, osteomyelitis, sepsis, and CNS infections. Dosage: Dogs 15-50 mg/kg IV/IM/SC q12-24h; Cats 25-50 mg/kg IV/IM/SC q12-24h. Ref: Plumb's 9th Ed. p. 205."
"5","Xithrone","Azithromycin","dogs and cats","5","10","200","mg/5ml","5","suspension","PO","q24h","200 mg suspension","Category: Antibiotic (Macrolide / Azalide). Long-acting azalide antibiotic inhibiting bacterial 50S ribosomal protein synthesis. Indications: Upper respiratory infections, Bartonellosis, feline chlamydiosis, and Babesiosis (with atovaquone). Dosage: Dogs/Cats 5-10 mg/kg PO q24h. Warnings: Potential hepatotoxicity and GI upset. Ref: Plumb's 9th Ed. p. 112."
"6","Klacid / Klarimix (dog)","Clarithromycin","dog","4","12","125","mg/5ml","5","suspension/tablet","PO","q12h","Susp 125, 250 mg","Category: Antibiotic (Macrolide). Acid-stable macrolide antibiotic inhibiting 50S protein synthesis. Indications: Mycobacterial infections, Helicobacter, Rhodococcus equi (with rifampin in foals), and respiratory tract infections. Dosage: Dogs 4-12 mg/kg PO q12h; Cats 5-10 mg/kg PO q12h; Foals 7.5 mg/kg PO q12h. Ref: Plumb's 9th Ed. p. 248."
"6b","Klacid / Klarimix (cat)","Clarithromycin","cat","5","10","125","mg/5ml","5","suspension/tablet","PO","q12h","Susp 125, 250 mg","Category: Antibiotic (Macrolide). Acid-stable macrolide antibiotic inhibiting 50S protein synthesis. Indications: Mycobacterial infections, Helicobacter, Rhodococcus equi (with rifampin in foals), and respiratory tract infections. Dosage: Dogs 4-12 mg/kg PO q12h; Cats 5-10 mg/kg PO q12h; Foals 7.5 mg/kg PO q12h. Ref: Plumb's 9th Ed. p. 248."
"7","Ceporex / Cephalexin (PO)","Cefalexin","dogs and cats","15","15","250","mg/tab","1","tablet","PO","q8-12h","Susp 125, 250 mg; Tab 250, 500, 1000 mg","Category: Antibiotic (1st Gen Cephalosporin). Bactericidal beta-lactam active primarily against Gram-positive cocci (Staphylococcus pseudintermedius) and some Gram-negatives. Indications: Superficial and deep pyoderma, urinary tract infections, wound infections. Dosage: Dogs/Cats 15-30 mg/kg PO q8-12h; Injectable 10-15 mg/kg IM/SC q24h. Ref: Plumb's 9th Ed. p. 195."
"7b","Ceporex / Cephalexin (IM/SC)","Cefalexin","dogs and cats","10","10","180","mg/ml","1","injectable","IM/SC","q24h","Injectable form","Category: Antibiotic (1st Gen Cephalosporin). Bactericidal beta-lactam active primarily against Gram-positive cocci (Staphylococcus pseudintermedius) and some Gram-negatives. Indications: Superficial and deep pyoderma, urinary tract infections, wound infections. Dosage: Dogs/Cats 15-30 mg/kg PO q8-12h; Injectable 10-15 mg/kg IM/SC q24h. Ref: Plumb's 9th Ed. p. 195."
"8","Ciprofloxacin / Cipropay","Ciprofloxacin","dogs and cats","20","25","250","mg/tab","1","tablet","PO","q24h","Tab 250, 500 mg","Category: Antibiotic (Fluoroquinolone). Concentration-dependent bactericidal DNA gyrase inhibitor. Indications: Severe Gram-negative urinary, soft tissue, and systemic infections. Note: Oral bioavailability in dogs is variable (40-60%); enrofloxacin is preferred when possible. Dosage: Dogs 10-25 mg/kg PO q24h or divided q12h. Ref: Plumb's 9th Ed. p. 238."
"9","Vibramycin / Doxymycin","Doxycycline","dogs and cats","10","10","100","mg/cap","1","capsule","PO","q24h","Capsule 100 mg","Category: Antibiotic (Tetracycline). Lipophilic tetracycline with broad-spectrum and anti-inflammatory activity. Indications: Ehrlichiosis, Anaplasmosis, Lyme borreliosis, Mycoplasma, Leptospirosis, and Wolbachia in heartworm disease. Dosage: Dogs/Cats 5-10 mg/kg PO/IV q12-24h. Warnings: In cats, always follow oral tablets with water/food to prevent esophageal stricture. Ref: Plumb's 9th Ed. p. 386."
"10","Dexamethasone","Dexamethasone","dogs and cats","0.01","0.16","4","mg/ml","1","injectable","IM/SC/PO","q24h","Various preparations available","Category: Corticosteroid (Glucocorticoid). Long-acting, potent glucocorticoid with 30x the anti-inflammatory potency of cortisol. Indications: Ketosis in dairy cattle, acute hypersensitivity/anaphylaxis, inflammatory musculoskeletal conditions, and induction of parturition. Dosage: Cattle/Horses 0.02-0.1 mg/kg IV/IM; Dogs/Cats 0.05-0.2 mg/kg IV/IM/SC. ⚠️ WARNING: Induces abortion in pregnant ruminants during last trimester! Withdrawal: Meat 8 days, Milk 72 hours. Ref: Plumb's 9th Ed. p. 347."
"11","Predsol / Xilone","Prednisolone","dogs and cats","0.5","2","5","mg/5ml","5","syrup/tablet","PO/IV/SC","q24h","Syrup 5mg/15mg; Solupred 20mg; Histacortin-H 5mg","Category: Corticosteroid (Glucocorticoid). Intermediate-acting glucocorticoid, active metabolite of prednisone. Indications: Allergic dermatitis, asthma in cats, autoimmune diseases (IMHA/ITP), and lymphoma. Dosage: Anti-inflammatory: 0.5-1 mg/kg PO/SC/IV q12-24h; Immunosuppressive: 2-4 mg/kg PO q12-24h (taper gradually). Ref: Plumb's 9th Ed. p. 981."
"12","Alphinterin / Ambezim-G","Alpha-chemotrypsin","dogs and cats","0","0","1","tab/dose","1","tablet","PO","q8-12h","Tablets","Anti-inflammatory enzyme. 1 tablet BID or TID. Dose is per animal, not per kg."
"13","Maxilase","Alpha-amylase","dogs and cats","0","0","200","ml/dose","1","syrup","PO","q8-12h","Syrup","Mucolytic enzyme. 1-5 ml/animal every 8-12 hours. Dose is per animal."
"14","Ketofen (Oral)","Ketoprofen","dogs and cats","1","2","12.5","mg/5ml","5","capsule/syrup","PO","q24h max 5 days","Cap 25, 50, 75, 100, 200 mg; Syrup 12.5 mg","Category: NSAIDs. Dual inhibitor of COX and 5-lipoxygenase (LOX) offering strong analgesic and antipyretic relief. Indications: Acute musculoskeletal inflammation, lameness, colic in horses, and post-partum fever in cattle. Dosage: Cattle/Horses 3 mg/kg IV/IM q24h for 1-3 days; Dogs 1-2 mg/kg PO/SC/IM q24h (max 5 days). Advantage: 0-day milk withdrawal! Meat withdrawal: 4 days. Ref: Plumb's 9th Ed. p. 646."
"15","Ketofen (Injectable)","Ketoprofen","dogs and cats","2","2","100","mg/amp","2","injectable","SC/IV/IM","q24h","Amp 100 mg","Category: NSAIDs. Dual inhibitor of COX and 5-lipoxygenase (LOX) offering strong analgesic and antipyretic relief. Indications: Acute musculoskeletal inflammation, lameness, colic in horses, and post-partum fever in cattle. Dosage: Cattle/Horses 3 mg/kg IV/IM q24h for 1-3 days; Dogs 1-2 mg/kg PO/SC/IM q24h (max 5 days). Advantage: 0-day milk withdrawal! Meat withdrawal: 4 days. Ref: Plumb's 9th Ed. p. 646."
"16","Mobic / Mobitil","Meloxicam","dogs and cats","0.1","0.2","15","mg/amp","1.5","injectable/tablet","SC/IV/PO","q24h","Tab 7.5, 15 mg; Amp 15 mg","Category: NSAIDs. Preferential COX-2 inhibitor with excellent anti-inflammatory and analgesic efficacy. Indications: Bovine respiratory disease, calf diarrhea (adjunct), acute mastitis, locomotor disorders, and perioperative orthopedic pain. Dosage: Cattle 0.5 mg/kg SC/IV single dose; Horses 0.6 mg/kg IV/PO q24h; Dogs 0.2 mg/kg initial then 0.1 mg/kg PO/SC q24h. Withdrawal: Cattle meat 15 days, Milk 5 days. Ref: Plumb's 9th Ed. p. 720."
"17","Feldene","Piroxicam","dog","0.3","0.3","20","mg/amp","1","tablet/injectable","PO/SC/IV/IM","q24h","Tab 10, 20 mg; Amp 20 mg","Category: NSAIDs (Oxicam). Non-selective COX inhibitor with anti-inflammatory and transitional cell carcinoma (TCC) anti-neoplastic effects. Indications: Bladder TCC, squamous cell carcinoma, and refractory osteoarthritis in dogs. Dosage: Dogs 0.3 mg/kg PO q24-48h (always with food). Warnings: High risk of GI ulceration; monitor renal and GI health. Ref: Plumb's 9th Ed. p. 962."
"18","Allergy (dog)","Chlorphenamine","dog","0","0","4","mg/tab","1","tablet","PO","q8-12h","Tab 4 mg; Syrup 2 mg","Antihistamine. Dogs: 4-8mg per animal q8-12h. Dose is per animal."
"19","Allergy (cat)","Chlorphenamine","cat","0","0","4","mg/tab","1","tablet","PO","q8-12h","Tab 4 mg; Syrup 2 mg","Antihistamine. Cats: 2-4mg per animal q8-12h. Dose is per animal."
"20","Tavagyl","Clemastine","dogs and cats","0.1","0.1","2","mg/amp","2","tablet/syrup/injectable","PO/IM","q12h","Tab 1 mg; Syrup 0.5 mg; Amp 2 mg","Antihistamine. 0.1mg/kg PO q12h."
"21","Claritine","Loratadine","dogs and cats","0","0","5","mg/5ml","5","tablet/syrup","PO","q24h","Tab 10 mg; Syrup 5 mg","Antihistamine. 5-15mg per animal q24h. Dose is per animal, not per kg."
"22","Zyrtec","Cetirizine","dogs and cats","0.25","0.25","5","mg/5ml","5","tablet/syrup","PO","q12h","Tab 10 mg; Syrup 5 mg","Antihistamine. 0.25mg/kg or 5-10mg per animal q12h."
"23","Cortigen B6","Vitamin B Complex","dogs and cats","0","0","1","amp/dose","1","injectable","IM","per label","Ampoules","Antiemetic. 1 ampoule IM q12h. Dose is per animal. | DOSING: Per-animal dosing per product label. Cattle/Horses 5-10 mL IM/SC. (NOT standard mg/kg weight-based)"
"24","Motilium / Motinorm","Domperidone","dogs and cats","0","0","5","mg/5ml","5","syrup/tablet","PO","q8h","Syrup 5 mg; Tab 10 mg","Antiemetic. 2-5mg per animal q8h. Dose is per animal."
"25","Primperan","Metoclopramide","dogs and cats","0.2","0.5","10","mg/amp","2","syrup/tablet/injectable","PO/IM/IV","q8h","Syrup 5 mg; Tab 10 mg; Amp 10 mg","Antiemetic/Prokinetic. 0.2-0.5mg/kg q8h."
"26","Zofran / Dansit (IV)","Ondansetron","dogs and cats","0.5","0.5","4","mg/amp","2","injectable","IV","q12h","Amp 4, 8 mg","Potent antiemetic. 0.5mg/kg IV q12h."
"27","Zofran / Dansit (PO)","Ondansetron","dogs and cats","0.5","1","8","mg/tab","1","tablet","PO","q12h","Tab 8 mg","Potent antiemetic. 0.5-1mg/kg PO q12h."
"28","Guava / Balsam","Herbal Extract","dogs and cats","0","0","1","ml/dose","1","syrup","PO","q8-12h","Syrup","Cough sedative. 2-5ml per animal q8-12h. Dose is per animal."
"29","Bisolvon (dog)","Bromhexine","dog","2","2.5","4","mg/5ml","5","syrup/tablet/injectable","PO/IM","q12h","Syrup 4 mg; Tab 8 mg; Amp 4 mg","Category: Mucolytic / Bronchial Secretagogue. Secretolytic agent that disrupts acid mucopolysaccharide fibers in bronchial sputum, reducing viscosity and enhancing antibiotic penetration into pulmonary secretions. Indications: Acute/chronic bronchopneumonia, tracheobronchitis, and calf respiratory disease. Dosage: Cattle/Horses 0.2-0.5 mg/kg IM/PO q24h; Dogs 2 mg/kg PO q12h; Cats 0.5 mg/kg PO q12h. Ref: Plumb's 9th Ed. p. 147."
